Year,Areca nut,Banana,Cashew nut,Cassava,Chilli/Pepper (dry),Chilli/Pepper (green),Coconut,Coffee,Eggplant,Ginger,Mango/Guava/Mangosteen,Natural rubber,Nutmeg/Mace/Cardamom,Okra,Onion/Shallot (dry),Papaya,Pepper,Pineapple,Rice,Tea
1961,888.9,13678.8,425,7186.1,631.5,5964.9,4603,450,6600,904.8,8221.2,599.8,60,5166.7,10000,38000,271.8,10903.9,1541.9,1069.9
1962,888.9,13397.8,440,7139.6,667.2,5993,4700.7,400,6730.8,952.4,8221.2,603,71.4,5000,10250,33142.9,254.9,10869.6,1395.9,1042.7
1963,888.9,13476.7,427.9,7113.4,655.1,5986.2,4399.7,476.3,6790.1,913,8235.3,620,70.2,5000,10500,33714.3,235.3,10869.6,1549.8,1037.1
1964,888.9,13555.6,441.9,11569.7,663.4,6129,4418.6,577.5,6764.7,913,8235.3,597.9,72.7,4970.6,10750,25166.7,233,10929,1617.1,1089.9
1965,862.6,15502.4,434.8,12637.5,574.1,6000,4231.9,499.2,6857.1,956.5,8235.3,602.3,70.2,5000,10560,29833.3,225.5,10894.9,1293.6,1061.2
1966,868.6,16325.4,430.2,12793.4,579.8,6187.5,4320.3,511.2,6833.3,913,8235.3,604.5,53.3,5081.1,10800,25750,223.1,10862.6,1295.2,1081.5
1967,915.5,15399,458.5,13162.1,635.8,6200,4279.1,623,6842.1,952.4,8236.7,612.8,41.1,5105.3,10860,26125,203.1,10876.1,1548.4,1096
1968,918.4,14204.5,461.1,13378.6,601.8,6215.4,4170.3,447.9,7000,900,8236.7,625.9,40,5050.5,11333.3,22777.8,212,10876.1,1613.4,1139
1969,891.7,13805.5,453.3,12917.5,579.2,6380.4,4212.2,573.7,7000,1000,8236.7,666.3,40.5,5000,10937.5,24666.7,212,10882.4,1609.4,1111.4
1970,856.9,12903.3,438.6,14787.6,664.3,6391.4,4317.1,497,7219.5,1363.6,8236.7,651.5,40,5275.2,10909.1,19711.1,218.1,10888.3,1684.9,1173.9
1971,842.8,15016,420.2,14859.8,655.8,6402.4,4180.4,861.2,7403.8,1411.5,8236.7,653.9,46.9,5288.9,10734.5,22412.5,220.5,10888.3,1711,1214.1
1972,863.5,14539.7,406.2,17036.8,603.3,6484.8,4053.8,534.5,7547.6,1469.8,8237,679.2,38.2,5299.1,10847.5,18975.9,218.6,10863.5,1604.6,1266.3
1973,828.8,14215,395.3,17542.4,672.7,6617.6,3944.6,700.6,7604.7,1547.1,8237,725.2,42.2,5491.8,10879.1,22227.4,235.8,10869.6,1725.9,1304.9
1974,907.3,13920.5,386,17438.6,643.5,6685.7,4013.3,659.5,7545.5,1570.4,8237.4,754.2,53.8,5500,10905.1,21906.9,231.1,10875.3,1574.4,1347.3
1975,870.5,14732.1,399.1,16320.7,711.1,6694.4,4048.3,638,7555.6,1659.9,8237.4,760.8,52.1,5500,10824.7,20701.4,228.4,10880.8,1858.2,1337.3
1976,901.4,15289.7,431.2,16934.4,536.7,6712.7,3987,560,7652.2,1691.6,8236.9,774.2,45.4,5584.9,11883,19094.5,276.5,10886.1,1637.2,1397.4
1977,917.4,15795.8,432.4,16524.1,686.9,6997.2,3806.9,639.4,7801.7,1990.6,8235.9,804.3,47.1,5563.6,11868,19367.1,228.8,10876.7,1961.3,1506.7
1978,1025.8,16992.9,428.4,15875.8,684.9,7000,4035.1,735.3,7833.3,1956.6,8133.3,769.6,62.3,5535.7,10290,15940,254.2,11242.5,1991.2,1508.6
1979,1015.1,15574,409.4,16736.1,594.4,7297.3,3892.9,613.8,7918.4,1808.2,8717.2,711.5,59.6,5603.4,10232.1,16313.1,250.2,11383.4,1610.5,1436.9
1980,1004.4,14946.8,402.9,16610.7,609.8,7307.7,3923.2,809.9,8032.1,2038.1,8726,770.9,62.7,5762.7,9961.4,16098.2,269.8,12039,2000.2,1491.4
1981,1057.8,15744.2,398.8,18292.1,638.3,7333.3,3794,624.2,8616.6,2136.6,8692.7,788.4,93.4,5800,10562,9234.4,265.7,12323,1962.3,1456.3
1982,1066.3,14816.8,406.9,16373.8,658.8,7700,4148.1,784,8914.7,2148.5,8649.5,779.3,77.9,5803.3,10330.4,13246.7,263.1,7702.7,1849.7,1419.6
1983,1097.1,16428.8,409,17708.6,701,7707.3,3702.1,646.8,9007.6,2477.7,8641.8,830.7,79,5873,9981.9,12075.1,240.9,7704.4,2183.3,1468.1
1984,1018.3,17388,420.1,18428.9,793.3,8214.3,4340.6,507.1,9185.2,2411.5,8779.9,857.2,81.3,5937.5,11139.1,7937.5,211.6,13724.9,2127.2,1605.9
1985,1179,17706.3,434.2,18546,970.5,8181.8,4104.1,931.7,9272.7,2578.8,11745.3,886,85.1,5909.1,10202.1,7741.9,166.5,13724.8,2329.2,1640.7
1986,1164.9,19034,452.3,17716,753.9,8400,3848.3,570.7,9500,2583.3,12262.1,897.9,83.5,6029.4,9659,8458,271.8,12914.9,2205.2,1508
1987,1124.2,19282.8,469.6,18147,780.1,8478.3,4013.4,891.4,9805.7,2633.5,12126.3,925.8,78,6098.3,9856.6,8375.9,236,12659.3,2199.1,1507.9
1988,1134.6,11979.8,493.5,20180.7,844.7,8808.5,4451.8,562.8,10000,2923.1,9304,944.2,72.3,6204,10619.6,10894.9,320.7,15817.7,2548.6,1628
1989,1218.8,19258.4,518.3,19384.7,882.9,8792.4,4723.5,971.5,10206.9,2891.1,9888.4,974.1,83.5,6250,10176.3,9965.2,274.7,14536.1,2616,1692.3
1990,1199.5,19597.3,538,20538.1,880.9,8842.1,4901.7,534.4,10169.5,2851.9,10215.6,1028.4,80.9,6246.6,10686.3,12363.7,321.8,16139.4,2612.5,1658.1
1991,1099.1,20742.5,553.9,21892.5,729.4,8829.2,4905.2,760.6,10413.3,3050,8121.7,1075.7,80.9,6289.2,11087.8,17816.4,276.5,12066.6,2627.1,7439.4
1992,1096.5,20054.1,572.2,23246.3,896.1,8958.3,5430.8,805.4,14190.7,3365.6,8114.3,1135.3,95.3,6400,10788.3,16949.7,282.4,15054.6,2609.2,7385.1
1993,1131.1,22967.7,625,23043,860.3,9006.2,5439.4,724.8,19884.9,3073.6,8286.9,1108.8,107.5,6396.3,10911.6,22642.2,268,16824.8,2830.3,6830.4
1994,1151.2,24231.3,619.5,24527.7,958.5,8979.6,5766.1,918.3,15785.7,1956.6,8935,1162.2,106.6,10100,10670.9,22350.9,268.6,14428.6,2864.5,7685.4
1995,1187.8,23789.7,557.4,25277.5,917.3,9100,5249.7,787.7,14833.3,1900,8593.8,1325.8,115.3,9285.7,10608.4,21648.8,314,13250,2697.2,7658.9
1996,1158.8,23513.7,658,23852.8,1129.2,9038.5,5129.6,921.5,14651.5,3307.3,8413.2,1385.2,127.3,10000,10346.5,20372.1,310.9,14634.1,2822.6,7697.9
1997,1178,29843.4,652.5,22111.7,1035.1,9056.6,4830.7,815.8,14186,3315.8,9166.7,1458.9,124.1,10000,9014.1,23314.8,311.1,14498.6,2845.7,7867.7
1998,1242.6,32826.1,533.3,25281.5,1170.6,9074.1,4987.2,798.2,16125,3371.8,7307.1,1563.3,105.9,10031.3,11390.5,23348.7,313.2,13428.6,2880.5,8115.2
1999,1107.1,34306.1,651.6,23952.3,1097.6,9044.4,4880.9,876.8,16081.6,3391.8,6979,1574.7,126.2,10242.4,9932.1,27397.8,316.7,13558,2978.2,8016.9
2000,1137.9,30098.6,758,26908.7,1176,9090.9,4717.5,946.7,16240,3357.1,7064,1575,156.9,9771.4,10491.3,25517,301,14571.4,2850.8,7328.6
2001,1137.9,30480.3,642.9,26699.8,1214.8,9021.3,4712,958.8,16383,3264.9,6620.7,1573.6,165.9,9542.9,10593.2,35147.9,299.1,15250,3115.8,7307.5
2002,1379.3,27991.6,626.7,27274.6,1082.4,8997.1,4621.8,938.5,16700,3201.6,6358.8,1591.8,174,9485.7,9911.7,31576.5,283.1,14750,2616.3,7280.4
2003,1176.9,27791,649.4,26213.5,1595.9,8970.3,4490.6,858.6,15660,3176.9,7843.5,1662.7,174.7,9540.5,11317.4,29073.9,296.3,14555.6,3117.7,7127.9
2004,1203.3,28399.8,685.9,27043.6,1607.5,8941.4,4333.7,832,16416.2,3547.6,6026.1,1703.8,177.5,10284.3,12643.5,34350.9,313.6,15255.9,2975.6,7350
2005,1242.7,33165.6,663.4,30497.8,1549.2,8838,4562.8,826.5,16335.8,3767.1,6003.7,1795.6,185.8,9830.4,13406.1,31553.1,319.8,15445.7,3153.7,7568.1
2006,1267.6,34753.1,684.6,32113.2,1628.1,8792.8,5234.2,802.7,16730.9,3537.1,6086,1878.6,163.5,10144.5,14123.7,34235.9,357,15322.8,3175.9,7426.1
2007,1262.9,36205.2,726,32220.4,1601.3,8748.1,5615.5,839.6,16642.6,3707.8,6376,1798.1,166.6,10277.8,16930.6,35048.2,280.5,15655.2,3292.4,7460.1
2008,1231.2,36977.4,766.1,33540.7,1630,8703.1,5332.2,760.5,17251.3,3737.8,6359.4,1867.2,168,10267.8,16265,37030.6,238.2,15562.5,3250.9,7418
2009,1243.3,34362.6,778.3,34343.3,1567.9,8659.2,5711.4,748.4,17287.4,3498.7,5521.9,1776.5,174.3,10481.5,16078.8,40893.4,198.6,15964.3,3236.6,7304
2010,1194.7,35879.5,664.1,34755.5,1544.5,8617.3,5717.6,814.6,17248.5,3583.1,6498.6,1807.1,181.1,10626.1,14208.6,39584.9,260.4,15090.3,3358.7,7442.1
2011,1194.7,35725.2,707.7,36477,1585.9,8577.9,4964.2,837.8,17494.1,4708.2,6612.1,1818.2,177.7,11614.5,16106.2,37965.1,282.6,15898.9,3587.8,7938.3
2012,1467.7,34161.1,740.6,38581.8,1643.2,8500,4941.5,851.7,18257.2,4877.4,6810.8,2036.2,196.4,12083,15981.9,40772.7,205,14705.9,3690.9,8157
2013,1365.5,34642,759.1,34959.4,1925.2,8500,5574.8,845.6,18620.5,5022.1,7200.8,2000,172.7,11963.3,15857.8,41066.7,424,14961.9,3624.3,9319.5
2014,1376.1,37036.7,744.8,35655.5,1925.2,8473.9,5607.3,798.6,19060.4,4924.8,7325.7,2065.9,225.8,11914.5,16120.1,42286.3,411.3,15805.8,3586.8,8690.4
2015,1660,35548.7,723.3,21024,2109.1,8428.1,5367.3,772.6,18705.8,5352.1,8565.4,2071.3,239.1,11327.4,16135.5,42721.7,503.9,17103.4,3600.2,9460.7
2016,1506.3,34643.3,647.7,21294.1,1874.4,8466.4,5448.8,801,18876.3,6721.2,8439.6,2078.2,355.1,11446.2,15856.8,42931.8,426.4,17490.9,3740.1,9415
2017,1589,35438.4,761.8,20959.8,2495.2,8454.4,5366.1,694.3,17066.8,6369,9438.5,2091.9,398.1,11840.2,17172.3,44328.4,545.5,16765.8,3863.7,9267.9
2018,1676.1,34850.7,769.3,28612.7,2857.7,8424.8,7826.9,765.1,17535.6,10678.8,9879.7,2112.7,398.1,11974.5,18102.7,43398.6,492.5,16563.1,3956.7,9357.1
2019,1726.1,35173.2,672.4,30527.6,2234.6,8390.5,6825.7,766.7,17441.5,10902.4,9965.4,2140.7,361.9,12039,18704.1,40604,478.3,16451.9,4083.6,9484.9
2020,1850.1,36340,624.9,35028.9,2931.3,8700.2,6445.5,712.6,17045.7,10494.4,9542.9,2199.6,339.4,12197.7,18232.7,40704.2,481.8,16339.6,4075.7,9767.2
2021,1968.5,35781.4,636.8,37929,2918.8,8504.6,6503.4,789.7,17188.3,10853.7,9511.6,2211.7,458.7,12177,16404.6,37945.2,484.6,16971.7,4196.2,9951.9
2022,1962.3,35854.6,635.1,36122.1,2764,8531,6182.5,774.2,18911.1,11497.4,9726,2238.4,504.6,12496.4,16325.1,35606.7,501.9,17138.9,4257.1,10101.1
2023,1459.5,36835,654.4,35771.1,3265.3,8578.4,6220,760.2,18784.1,11523.6,9724.2,2265.1,486.5,13038.3,17360.9,35405.4,519,16925.9,4322.3,10250.4
2024,,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,,
